#数据格式：sysObjectId,sysDescrPattern,_OBJ_CATEGORY,_OBJ_TYPE,VENDOR,MODEL
.1.3.6.1.4.1.9.1.253,,SWITCH,Switch,Cisco,cisco6260,ciscoDSLAM
.1.3.6.1.4.1.9.1.254,,SWITCH,Switch,Cisco,ciscoOpticalRegenerator
.1.3.6.1.4.1.9.1.255,,SWITCH,Switch,Cisco,ciscoUBR924,ciscoUBR
.1.3.6.1.4.1.9.1.256,,SWITCH,Switch,Cisco,ciscoWSX6302Msm
.1.3.6.1.4.1.9.1.257,,SWITCH,Switch,Cisco,catalyst5kRsfc,ciscoCatalyst
.1.3.6.1.4.1.9.1.258,,SWITCH,Switch,Cisco,catalyst6kMsfc,ciscoCatalyst
.1.3.6.1.4.1.9.1.259,,SWITCH,Switch,Cisco,cisco7120Quadt1,cisco7120
.1.3.6.1.4.1.9.1.260,,SWITCH,Switch,Cisco,cisco7120T3,cisco7120
.1.3.6.1.4.1.9.1.261,,SWITCH,Switch,Cisco,cisco7120E3,cisco7120
.1.3.6.1.4.1.9.1.262,,SWITCH,Switch,Cisco,cisco7120At3,cisco7120
.1.3.6.1.4.1.9.1.263,,SWITCH,Switch,Cisco,cisco7120Ae3,cisco7120
.1.3.6.1.4.1.9.1.264,,SWITCH,Switch,Cisco,cisco7120Smi3,cisco7120
.1.3.6.1.4.1.9.1.265,,SWITCH,Switch,Cisco,cisco7140Dualt3,cisco7140
.1.3.6.1.4.1.9.1.266,,SWITCH,Switch,Cisco,cisco7140Duale3,cisco7140
.1.3.6.1.4.1.9.1.267,,SWITCH,Switch,Cisco,cisco7140Dualat3,cisco7140
.1.3.6.1.4.1.9.1.268,,SWITCH,Switch,Cisco,cisco7140Dualae3,cisco7140
.1.3.6.1.4.1.9.1.269,,SWITCH,Switch,Cisco,cisco7140Dualmm3,cisco7140
.1.3.6.1.4.1.9.1.270,,SWITCH,Switch,Cisco,cisco827QuadV,cisco800
.1.3.6.1.4.1.9.1.271,,SWITCH,Switch,Cisco,ciscoUBR7246VXR,ciscoUBR
.1.3.6.1.4.1.9.1.272,,SWITCH,Switch,Cisco,cisco10400,cisco10000
